274,The Bureau: XCOM Declassified,2013,PC,The Bureau: XCOM Declassified,244,2013,https://www.igdb.com/games/the-bureau-xcom-declassified
77,Total War: Rome II,2013,PC,Total War: Rome II,2359,2013,https://www.igdb.com/games/total-war-rome-ii
48,Battlefield 3,2011,PC,Battlefield 3,343,2011,https://www.igdb.com/games/battlefield-3
463,Chip 'N Dale: Rescue Rangers,1990,Nintendo Entertainment System,Chip 'n Dale Rescue Rangers,6490,1990,https://www.igdb.com/games/chip-n-dale-rescue-rangers
102,This War of Mine,2014,PC,This War of Mine,7706,2014,https://www.igdb.com/games/this-war-of-mine
592,South Park: The Fractured But Whole,,Nintendo Switch,South Park: The Fractured But Whole,11161,2017,https://www.igdb.com/games/south-park-the-fractured-but-whole
126,Resident Evil 7 biohazard,2017,PlayStation 4,Resident Evil 7: Biohazard,19562,2017,https://www.igdb.com/games/resident-evil-7-biohazard
108,Train Fever,2014,PC,Train Fever,9447,2014,https://www.igdb.com/games/train-fever
141,Mark of the Ninja,2012,PC,Mark of the Ninja,2129,2012,https://www.igdb.com/games/mark-of-the-ninja
572,Imperator: Rome,2019,Mac,Imperator: Rome,102060,2019,https://www.igdb.com/games/imperator-rome
583,Ōkami,2006,Nintendo Switch,Ōkami,1271,2013,https://www.igdb.com/games/okami
504,Master of Orion II: Battle at Antares,1996,PC,Master of Orion II: Battle at Antares,68,1996,https://www.igdb.com/games/master-of-orion-ii-battle-at-antares
591,Outer Wilds,,PC,Outer Wilds,11737,2019,https://www.igdb.com/games/outer-wilds
457,Subnautica,2018,PC,Subnautica,9254,2018,https://www.igdb.com/games/subnautica
113,Inside,2016,PlayStation 4,INSIDE,7342,2016,https://www.igdb.com/games/inside
123,Jotun,2015,PC,Jotun,14147,2015,https://www.igdb.com/games/jotun
106,Anno 2070,2011,PC,Anno 2070,2959,2011,https://www.igdb.com/games/anno-2070
122,Life Is Strange,2015,PC,Life is Strange,7599,2015,https://www.igdb.com/games/life-is-strange
153,Outlast,2013,PC,Outlast,1910,2013,https://www.igdb.com/games/outlast
598,Control,,PlayStation 4,Control,103329,2019,https://www.igdb.com/games/control
487,Myst V: End of Ages,2005,PC,Myst V: End of Ages,8475,2005,https://www.igdb.com/games/myst-v-end-of-ages
490,Rome: Total War,2004,PC,Rome: Total War,438,2004,https://www.igdb.com/games/rome-total-war
112,Final Fantasy XV,2016,PlayStation 4,Final Fantasy XV,359,2016,https://www.igdb.com/games/final-fantasy-xv
142,Dishonored,2012,PC,Dishonored,533,2012,https://www.igdb.com/games/dishonored
407,Super Mario Odyssey,2017,Nintendo Switch,Super Mario Odyssey,26758,2017,https://www.igdb.com/games/super-mario-odyssey
494,Gothic,2001,PC,Gothic,2261,2001,https://www.igdb.com/games/gothic
389,Marvel's Spider-Man,2018,PlayStation 4,Marvel's Spider-Man,19565,2018,https://www.igdb.com/games/marvels-spider-man
114,Limbo,2010,PlayStation 4,Limbo,1331,2010,https://www.igdb.com/games/limbo
419,Into the Breach,2018,Mac,Into the Breach,27117,2018,https://www.igdb.com/games/into-the-breach
139,Thomas Was Alone,2012,PC,Thomas Was Alone,2291,2012,https://www.igdb.com/games/thomas-was-alone
506,Tzar: The Burden of the Crown,2000,PC,Tzar: The Burden of the Crown,9691,2000,https://www.igdb.com/games/tzar-the-burden-of-the-crown
155,Unravel,2016,PlayStation 4,Unravel,11170,2016,https://www.igdb.com/games/unravel
151,Hitman: Absolution,2012,PC,Hitman: Absolution,530,2012,https://www.igdb.com/games/hitman-absolution
518,X-COM: Apocalypse,1997,PC,X-COM: Apocalypse,26,1997,https://www.igdb.com/games/x-com-apocalypse
146,Torchlight II,2012,PC,Torchlight II,1337,2012,https://www.igdb.com/games/torchlight-ii
529,Parkan: The Imperial Chronicles,1997,PC,Parkan: The Imperial Chronicles,7700,1997,https://www.igdb.com/games/parkan-the-imperial-chronicles
152,Sleeping Dogs,2012,PC,Sleeping Dogs,1267,2012,https://www.igdb.com/games/sleeping-dogs
161,Prey,2017,PlayStation 4,Prey,19531,2017,https://www.igdb.com/games/prey--1
599,Spyro Reignited Trilogy,,Nintendo Switch,Spyro Reignited Trilogy,87683,2018,https://www.igdb.com/games/spyro-reignited-trilogy
350,Firewatch,2016,PC,Firewatch,9730,2016,https://www.igdb.com/games/firewatch
144,Deus Ex: Human Revolution,2011,PC,Deus Ex: Human Revolution,43,2011,https://www.igdb.com/games/deus-ex-human-revolution
526,Fallout 2,1998,PC,Fallout 2,14,1998,https://www.igdb.com/games/fallout-2
505,Deus Ex,2000,PC,Deus Ex,41,2000,https://www.igdb.com/games/deus-ex
157,Dishonored 2,2016,PlayStation 4,Dishonored 2,11118,2016,https://www.igdb.com/games/dishonored-2
140,Fallout: New Vegas,2010,PC,Fallout: New Vegas,16,2010,https://www.igdb.com/games/fallout-new-vegas
513,Warcraft III: Reign of Chaos,2002,PC,Warcraft III: Reign of Chaos,132,2002,https://www.igdb.com/games/warcraft-iii-reign-of-chaos
150,Portal 2,2011,PC,Portal 2,72,2011,https://www.igdb.com/games/portal-2
521,Sid Meier's Alpha Centauri,1999,PC,Sid Meier's Alpha Centauri,863,1999,https://www.igdb.com/games/sid-meier-s-alpha-centauri
532,Duke Nukem 3D,1996,PC,Duke Nukem 3D,342,1996,https://www.igdb.com/games/duke-nukem-3d
535,Warcraft II: Tides of Darkness,1995,PC,Warcraft II: Tides of Darkness,130,1995,https://www.igdb.com/games/warcraft-ii-tides-of-darkness
420,Bayonetta,2009,Nintendo Switch,Bayonetta,2136,2009,https://www.igdb.com/games/bayonetta
439,South Park: The Stick of Truth,2014,Nintendo Switch,South Park: The Stick of Truth,1262,2014,https://www.igdb.com/games/south-park-the-stick-of-truth
508,Diablo II,2000,PC,Diablo II,126,2000,https://www.igdb.com/games/diablo-ii
548,The Settlers III,1998,PC,The Settlers III,3696,1998,https://www.igdb.com/games/the-settlers-iii
544,Command & Conquer,1995,PC,Command & Conquer,647,1995,https://www.igdb.com/games/command-conquer
528,Age of Empires,1997,PC,Age of Empires,289,1997,https://www.igdb.com/games/age-of-empires
167,Ratchet & Clank,2016,PlayStation 4,Ratchet & Clank,11065,2016,https://www.igdb.com/games/ratchet-and-clank
468,Contra,1987,Nintendo Entertainment System,Contra 4,4598,2007,https://www.igdb.com/games/contra-4
551,Sid Meier's Civilization II,1996,PC,Sid Meier's Civilization 2,634,2014,https://www.igdb.com/games/sid-meiers-civilization-revolution-2
449,Super Smash Bros. Ultimate,2018,Nintendo Switch,Super Smash Bros. Ultimate,90101,2018,https://www.igdb.com/games/super-smash-bros-ultimate
509,Etherlords,2001,PC,Etherlords,11407,2003,https://www.igdb.com/games/etherlords-ii
514,M.A.X.: Mechanized Assault and Exploration,1996,PC,M.A.X.: Mechanized Assault & Exploration,775,1996,https://www.igdb.com/games/m-a-x-mechanized-assault-exploration
520,Fallout,1997,PC,Fallout,13,2001,https://www.igdb.com/games/fallout-tactics-brotherhood-of-steel
600,Divinity: Original Sin II,,Nintendo Switch,Divinity: Original Sin II,11800,2017,https://www.igdb.com/games/divinity-original-sin-ii
510,Cossacks: European Wars,2002,PC,Cossacks: European Wars,242,2001,https://www.igdb.com/games/cossacks-european-wars
183,Stellaris,2016,Mac,Stellaris,11582,2016,https://www.igdb.com/games/stellaris
478,Myst,1993,PC,Myst V: End of Ages,236,2005,https://www.igdb.com/games/myst-v-end-of-ages
181,Sid Meier's Civilization VI,2016,Mac,Sid Meier's Civilization VI,19130,2016,https://www.igdb.com/games/sid-meiers-civilization-vi
536,Transport Tycoon,1994,PC,Transport Tycoon,5504,1994,https://www.igdb.com/games/transport-tycoon
545,Command & Conquer: Red Alert,1996,PC,Command & Conquer: Red Alert,295,2009,https://www.igdb.com/games/command-conquer-red-alert-3-commander-s-challenge
594,XCOM 2,,PC,XCOM 2,10919,2016,https://www.igdb.com/games/xcom-2-deluxe-edition
567,Devil May Cry 5,2019,PlayStation 4,Devil May Cry 5,76253,2019,https://www.igdb.com/games/devil-may-cry-5
533,Panzer General,,PC,Panzer General,4268,1994,https://www.igdb.com/games/panzer-general
527,Total Annihilation,1997,PC,Total Annihilation,918,1997,https://www.igdb.com/games/total-annihilation
391,Cities: Skylines,2015,Mac,Cities: Skylines,9066,2015,https://www.igdb.com/games/cities-skylines
471,Halo 4,2012,Xbox 360,Halo 4,991,2012,https://www.igdb.com/games/halo-4
547,The Legend of Kyrandia,1992,PC,The Legend of Kyrandia,1282,1992,https://www.igdb.com/games/the-legend-of-kyrandia
448,Persona 5,2016,PlayStation 4,Persona 5,9927,2016,https://www.igdb.com/games/persona-5
148,Final Fantasy VIII,1999,PC,Final Fantasy VIII,425,1999,https://www.igdb.com/games/final-fantasy-viii
367,World in Conflict,2007,PC,World in Conflict,941,2007,https://www.igdb.com/games/world-in-conflict
415,Octopath Traveler,2018,Nintendo Switch,Octopath Traveler,26765,2018,https://www.igdb.com/games/octopath-traveler
523,Echelon,2001,PC,Echelon,13628,1987,https://www.igdb.com/games/echelon--1
541,Gobliins 2: The Prince Buffoon,1992,PC,Gobliins 2: The Prince Buffoon,1931,1992,https://www.igdb.com/games/gobliins-2-the-prince-buffoon
482,Call of Duty,2003,PC,Call of Duty,621,2003,https://www.igdb.com/games/call-of-duty
549,X-COM: Terror from the Deep,1995,PC,X-COM: Terror From The Deep,25,1995,https://www.igdb.com/games/x-com-terror-from-the-deep
524,Soldier of Fortune,2000,PC,Soldier of Fortune,3111,2000,https://www.igdb.com/games/soldier-of-fortune
515,Commandos: Behind Enemy Lines,1998,PC,Commandos: Behind Enemy Lines,879,1998,https://www.igdb.com/games/commandos-behind-enemy-lines
